ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
BACK HILTON STREET,UNASSIGNED,COL/035/002/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 4,Yes,Salford 7,Broughton Ward,5m,M44 5YE
CRESCENT,UNASSIGNED,SGN/200/023/0019-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5YE
CRESCENT,CENT.RES.JCT. ALBION PLACE,COL/200/023/0019,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5YD
CRESCENT,UNASSIGNED,SGN/200/023/0018-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5YG
GOODSHAW ROAD,ROAD OPPOSITE 7 SECT.38 SEE DWG NO. WO/94/,COL/002/085/0002,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5YD
CHETHAM CLOSE,UNASSIGNED  LA FEED FROM PILLAR WHICH IS M,CPRK/805/006/0001,Lighting Column 8m,Steel,SL - Car Park,Urbis,High P Sodium (T),100 watts,,Level 4,No,,,8m,M44 5HP
CRESCENT,CENT.RES.NR.ALBION PLACE,COL/200/023/0018,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5HW
GOODSHAW ROAD,ROAD OUTSIDE 1/3 SECT.38 SEE DWG NO. WO/94,COL/002/085/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5YD
CRESCENT,UNASSIGNED,SGN/200/023/0017-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5HP
GOODIERS DRIVE,ROAD AT OR OUTSIDE 131/133,COL/047/024/0033,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 4,Yes,Salford 5,Ordsall Ward,5m,M44 5HW
CRESCENT,CENT.RES.NR.ALBION PLACE,COL/200/023/0017,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5YN
EAST LANCASHIRE ROAD,UNASSIGNED  EAST BOUND CARRIAGEWAY,COL/101/001/0211,Lighting Column 12m,Steel,SL - Column,Thorn,High P Sodium (T+),250 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,12m,M44 5YN
CROFT STREET,UNASSIGNED,COL/007/004/0002,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 3,Yes,Worsley,Little Hulton Ward,5m,M44 5YF
GOODIERS DRIVE,ROAD AT OR OUTSIDE 121/123,COL/047/024/0032,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HW
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0012,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5UH
CROFT STREET,OUTSIDE 1,COL/037/014/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Salford 7,Broughton Ward,5m,M44 5YF
GOODIERS DRIVE,ROAD FACING 115,COL/047/024/0031,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5YD
CRESCENT,UNASSIGNED,SGN/200/023/0016-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5YF
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0011,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M44 5UH
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0030,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5YD
CRESCENT,CENT.RES,COL/200/023/0016,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5YL
JOHN STREET,UNASSIGNED,COL/072/036/0004,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,,Yes,Eccles,Winton Ward,5m,M44 5YL
HILTON STREET NORTH,ROAD CORNER VINCA GROVE,COL/035/007/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 4,Yes,Salford 7,Broughton Ward,6m,M44 5HN
BOROUGH ROAD,ROAD AT OR OUTSIDE 44/46,COL/059/015/0004,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,8m,M44 5HQ
HILTON STREET NORTH,UNASSIGNED,SGN/035/007/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M44 5YD
HILTON STREET NORTH,UNASSIGNED,COL/035/010/0002,Lighting Column 5m,Steel,SL - Column,Holophane,High P Sodium (T),70 watts,,Level 4,Yes,Salford 7,Broughton Ward,5m,M44 5HN
BOROUGH ROAD,ROAD OPPOSITE 30,COL/059/015/0003,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,8m,M44 5HG
BOROUGH ROAD,UNASSIGNED,SGN/059/015/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M44 5HQ
BOROUGH ROAD,UNASSIGNED,SGN/059/015/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Weaste and Seedley Ward,,M44 5HQ
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0011,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5DT
CRESCENT,UNASSIGNED,SGN/200/023/0015-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5YJ
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0029,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HW
FREDERICK ROAD,UNASSIGNED,SGN/315/001/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Irwell Riverside Ward,,M44 5UH
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0013,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M44 5HN
COLLIE AVENUE,ROAD OUTSIDE 8,COL/043/011/0002,Lighting Column 6m,Steel,SL - Column,Unknown,Cosmopolis,60 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,6m,M44 5YP
GOODIERS DRIVE,ROAD OUTSIDE REGENT ROAD SERVICE AREA,COL/047/024/0009,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,10m,M44 5HJ
GIRTON STREET,UNASSIGNED,COL/039/033/0011,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5DT
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0028,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5YB
KINGSLEY AVENUE,JUNCTION HURDLOW AVE,COL/029/021/0004,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T+),100 watts,,Level 2,Yes,Salford 7,Kersal Ward,8m,M44 5YJ
CRESCENT,CENT.RES.NR.IRWELL PLACE,COL/200/023/0015,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5YJ
GOODIERS DRIVE,ROAD FACING 85/87,COL/047/024/0027,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HJ
COLLIE AVENUE,ROAD FACING 14,COL/043/011/0003,Lighting Column 6m,Steel,SL - Column,Unknown,Cosmopolis,60 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,6m,M44 5YP
BOROUGH AVENUE,UNASSIGNED,COL/023/004/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Swinton,Pendlebury Ward,6m,M44 5HG
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0010,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M44 5DT
GIRTON STREET,UNASSIGNED,COL/039/033/0010,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5UG
DUDLEY ROAD,UNASSIGNED,COL/081/050/0010,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M44 5EQ
GIRTON STREET,UNASSIGNED,COL/039/033/0009,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5UG
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0026,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5YB
CRESCENT,UNASSIGNED,SGN/200/023/0014-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5HR
BOROUGH AVENUE,UNASSIGNED,COL/023/004/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Swinton,Pendlebury Ward,6m,M44 5HQ
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0025,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HJ
DUDLEY ROAD,UNASSIGNED,COL/081/050/0009,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M44 5EQ
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0010,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5DT
EASTHAM WAY,UNASSIGNED,SGN/008/013/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden North Ward,,M44 5HY
GIRTON STREET,UNASSIGNED,COL/039/033/0008,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 3,Yes,Salford 7,Broughton Ward,8m,M44 5UG
EASTHAM WAY,UNASSIGNED,COL/008/054/0003,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 4,Yes,Worsley,Walkden North Ward,5m,M44 5HJ
EGERTON ROAD,UNASSIGNED,COL/065/039/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Eccles,Eccles Ward,6m,M44 5YH
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0009A,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Walkden North Ward,5m,M44 5DT
CRESCENT,CENT.RES.NR.IRWELL PLACE,COL/200/023/0014,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5HR
DUDLEY ROAD,UNASSIGNED,COL/081/050/0008,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M44 5ED
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0024G,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HJ
COLLYHURST AVENUE,UNASSIGNED,COL/011/010/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5EE
GIRTON STREET,UNASSIGNED,COL/039/033/0007,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5UG
BORDER BROOK LANE,Outside No. 66,COL/001/032/0012,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5HG
COLLINGWOOD DRIVE,UNASSIGNED,COL/025/040/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M44 5EE
COLLYHURST AVENUE,UNASSIGNED,COL/011/010/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5EE
COLMAN GARDENS,UNASSIGNED,COL/048/055/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 5,Ordsall Ward,6m,M44 5EE
GIRTON STREET,UNASSIGNED,COL/039/033/0006,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5UG
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0009,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden North Ward,6m,M44 5DT
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0009,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M44 5DT
HALF EDGE LANE,UNASSIGNED,SGN/329/001/0007-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M44 5HL
BORDER BROOK LANE,Outside No.s 51/53,COL/001/032/0011,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5HQ
COLMAN GARDENS,UNASSIGNED  FOOTPATH FROM ABOVE TO WEST PARK STREET,COL/048/008/0001F,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 2,Yes,Salford 5,Ordsall Ward,5m,M44 5EE
DUDLEY ROAD,UNASSIGNED,COL/081/050/0007,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M44 5ED
GOODIERS DRIVE,ROAD AT OR OUTSIDE 77/79,COL/047/024/0024F,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5YB
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0007,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,6m,M44 5DT
CRESCENT,UNASSIGNED,SGN/200/023/0013-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AG
BRIDGEWATER STREET,REAR OF 2 - 12 EGERTON STREET,COL/072/025/0007,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 4,Yes,Eccles,Winton Ward,6m,M44 5DT
CORINTH WALK,UNASSIGNED,SGN/055/030/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5HX
HALF EDGE LANE,UNASSIGNED,COL/329/001/0008,Lighting Column 10m,Concrete,SL - Column,Thorn,High P Sodium (T),150 watts,,Level 2,Yes,Eccles,Eccles Ward,10m,M44 5HL
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0007,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden North Ward,6m,M44 5DT
COLLINGWOOD DRIVE,UNASSIGNED,COL/025/040/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M44 5EE
GIRTON STREET,UNASSIGNED,COL/039/033/0005,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5UG
HALF EDGE LANE,UNASSIGNED,SGN/329/001/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M44 5HL
GIRTON STREET,UNASSIGNED,COL/039/033/0004,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5DT
GIRTON STREET,UNASSIGNED,COL/039/033/0003,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5DT
DANIEL ADAMSON ROAD,UNASSIGNED,COL/059/022/0009,LED Lighting Column 10m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,10m,M44 5DU
COLLINGWOOD DRIVE,UNASSIGNED,COL/025/040/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M44 5EE
COLLINGWOOD DRIVE,UNASSIGNED,COL/025/040/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,6m,M44 5EE
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0008,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 2,Yes,Worsley,Walkden North Ward,6m,M44 5DT
DANIEL ADAMSON ROAD,UNASSIGNED,COL/059/022/0008,LED Lighting Column 10m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,10m,M44 5DU
GOODIERS DRIVE,ROAD AT OR OUTSIDE 81/83,COL/047/024/0024E,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HJ
BRIDGEWATER STREET,OPPOSITE 2 - 12,COL/072/025/0006,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M44 5DT
FLORA DRIVE,PASSAGE R/O CAREY CLOSE,COL/039/024/0002,Lighting Column 5m,Not specified,SL - Column,Philips,High P Sodium (T+),70 watts,,Not Specified,Yes,Salford 7,Broughton Ward,5m,M44 5ES
CRESCENT,CENT.RES.NR.IRWELL PLACE,COL/200/023/0013,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5AQ
BORDER BROOK LANE,Outside No. 33,COL/001/032/0009,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5HG
GIRTON STREET,UNASSIGNED,COL/039/033/0002,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5DT
GIRTON STREET,UNASSIGNED,COL/039/033/0001,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 7,Broughton Ward,8m,M44 5DT
DUDLEY ROAD,UNASSIGNED,COL/081/050/0006,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M44 5ED
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0007,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 3,Yes,Eccles,Winton Ward,6m,M44 5DT
CHADDOCK LANE,JCT. A580,COL/400/002/0020,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,10m,M44 5ET
BARCLAY DRIVE,UNASSIGNED,COL/065/010/0006,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M44 5YB
CORINTH WALK,UNASSIGNED,COL/003/033/0002,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,5m,M44 5HX
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0008,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,5m,M44 5DT
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0006,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,6m,M44 5AL
DANIEL ADAMSON ROAD,UNASSIGNED,COL/059/022/0007,LED Lighting Column 10m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 1 (Good),Yes,Salford 5,Weaste and Seedley Ward,10m,M44 5DU
BRIDGEWATER STREET,OUTSIDE 1 TO 11,COL/072/025/0008,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M44 5DT
GOODIERS DRIVE,ROAD SIDE OF 89/91,COL/047/024/0024D,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5YB
BARCLAY DRIVE,UNASSIGNED,COL/065/010/0007,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M44 5YA
BORDER BROOK LANE,Outside No.s 32/34,COL/001/032/0007,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5HG
CRESCENT,UNASSIGNED,SGN/200/023/0012-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AG
FLORA DRIVE,UNASSIGNED,COL/039/010/0002,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M44 5ES
CORINTH WALK,UNASSIGNED,SGN/055/030/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden South Ward,,M44 5HJ
BARCLAY DRIVE,UNASSIGNED,COL/065/010/0008,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M44 5YA
BRIDGEWATER STREET,REAR OF 14 TO 24 EGERTON STREET,COL/072/025/0005,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M44 5DT
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0006,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden North Ward,6m,M44 5AL
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0006,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5DT
