ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
HOWE STREET,UNASSIGNED,COL/036/011/0002,Lighting Column 5m,Cast Iron,SL - Column,Unknown,High P Sodium (T),70 watts,,Level 2,Yes,Salford 7,Broughton Ward,5m,M30 9EZ
BROADWAY,UNASSIGNED,COL/200/031/0057,Lighting Column 10m,Steel,SL - Column,Philips,Low P Sodium,135 watts,,Level 2,Yes,Salford 5,Weaste and Seedley Ward,10m,M30 0FZ
GREEN LANE,UNASSIGNED,SGN/322/001/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Eccles Ward,,M27 6WE
FREDERICK ROAD,UNASSIGNED,COL/315/001/0009,Lighting Column 10m,Steel,SL - Column,Philips,High P Sodium (T),150 watts,,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,10m,M30 0WA
BARTON ROAD,UNASSIGNED,COL/308/001/0010,Lighting Column 8m,Steel,SL - Column,G.E.C.,Low P Sodium,90 watts,,Level 1 (Good),Yes,Swinton,Swinton South Ward,8m,M30 0SZ
HARROP STREET,UNASSIGNED,COL/004/058/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,26 watts,,Level 1 (Good),Yes,Worsley,Little Hulton Ward,6m,M30 9HQ
ALFRED STREET,UNASSIGNED,COL/010/018/0005,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 4,Yes,Worsley,Walkden North Ward,5m,M27 0DN
BULTEEL STREET,UNASSIGNED,COL/074/003/0001,LED Lighting Column 5m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,5m,M27 6UN
CENTENARY WAY,UNASSIGNED,SGN/300/013/0006-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Barton Ward,,M27 0WH
ELLENBROOK ROAD,UNASSIGNED,COL/301/001/0039,Lighting Column 8m,Steel,SL - Column,Thorn,Low P Sodium,90 watts,,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,8m,M27 0YE
HARRIET STREET,UNASSIGNED,COL/081/046/0001,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T),50 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,5m,M30 9EZ
HENTY CLOSE,OPPOSITE 2,COL/074/076/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M27 9TU
HOWCLOUGH DRIVE,ROAD AT OR OUTSIDE 8,COL/011/030/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M30 9QG
AURIGA WALK,ROAD OPPOSITE 2,COL/042/059/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M27 6LB
