Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,25,COMMERCIAL STREET,HYDE,395307,395299,5 Metre,WALL MOUNTED,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,26,COMMERCIAL STREET,HYDE,395294,395287,5 Metre,WALL MOUNTED,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,28,COMMERCIAL STREET,HYDE,395279,395268,5 Metre,WALL MOUNTED,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,COMMUNITY STREET,ASHTON-UNDER-LYNE,392919,398343,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,COMMUNITY STREET,ASHTON-UNDER-LYNE,392906,398317,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,COMMUNITY STREET,ASHTON-UNDER-LYNE,392885,398308,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,COMMUNITY STREET,ASHTON-UNDER-LYNE,392873,398282,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COMPTON STREET,STALYBRIDGE,396856,398370,8 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,100 WATTS
LIGHTING COLUMN,2,COMPTON STREET,STALYBRIDGE,396899,398399,8 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,100 WATTS
LIGHTING COLUMN,1A,COMPTON STREET,STALYBRIDGE,396882,398378,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,1,CONCORD WAY,DUKINFIELD,394714,397716,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CONCORD WAY,DUKINFIELD,394696,397727,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CONCORD WAY,DUKINFIELD,394675,397733,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,CONCORD WAY,DUKINFIELD,394650,397749,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,CONCORD WAY,DUKINFIELD,394621,397752,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,CONCORD WAY,DUKINFIELD,394599,397757,8 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,100 WATTS
LIGHTING COLUMN,7,CONCORD WAY,DUKINFIELD,394579,397767,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,8,CONCORD WAY,DUKINFIELD,394549,397776,10 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,9,CONCORD WAY,DUKINFIELD,394521,397778,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,10,CONCORD WAY,DUKINFIELD,394503,397780,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,11,CONCORD WAY,DUKINFIELD,394474,397775,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,12,CONCORD WAY,DUKINFIELD,394459,397786,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5A,CONCORD WAY,DUKINFIELD,394584,397711,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CONDOR CLOSE,DROYLSDEN,391239,399255,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CONDOR CLOSE,DROYLSDEN,391274,399263,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CONDUIT STREET,ASHTON-UNDER-LYNE,394160.23,398706,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,1,CONEYMEAD,STALYBRIDGE,396236,399782,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CONEYMEAD,STALYBRIDGE,396243,399752,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,CONEYMEAD,STALYBRIDGE,396256,399723,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,CONISTON AVENUE,HYDE,394265,395728,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CONISTON AVENUE,HYDE,394301,395739,5 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CONISTON AVENUE,HYDE,394294,395778,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CONISTON CLOSE,DENTON,390685,394733,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CONISTON CLOSE,DENTON,390716,394750,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,CONISTON CLOSE,DENTON,390751,394762,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,CONISTON CLOSE,DENTON,390772,394740,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,CONISTON DRIVE,STALYBRIDGE,396114,399518,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CONISTON DRIVE,STALYBRIDGE,396121,399488,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,CONISTON DRIVE,STALYBRIDGE,396135,399495,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,CONISTON DRIVE,STALYBRIDGE,396146,399460,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,CONISTON DRIVE,STALYBRIDGE,396166,399428,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,CONISTON DRIVE,STALYBRIDGE,396191,399405,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,CONISTON DRIVE,STALYBRIDGE,396205,399372,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,8,CONISTON DRIVE,STALYBRIDGE,396231,399352,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,9,CONISTON DRIVE,STALYBRIDGE,396261,399346,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,CONISTON GROVE,ASHTON-UNDER-LYNE,393202,399556,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CONISTON GROVE,ASHTON-UNDER-LYNE,393190,399582,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CONISTON GROVE,ASHTON-UNDER-LYNE,393179,399605,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,CONISTON GROVE,ASHTON-UNDER-LYNE,393157,399634,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,CONISTON GROVE,ASHTON-UNDER-LYNE,393151,399669,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,CONISTON GROVE,ASHTON-UNDER-LYNE,393129,399698,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,7,CONISTON GROVE,ASHTON-UNDER-LYNE,393124,399729,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,2,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394868,400707,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394833,400708,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394797,400704,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394760,400714,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394726,400734,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,7,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394698,400773,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,6A,CONNERY CRESCENT,ASHTON-UNDER-LYNE,394705,400752,8 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,100 WATTS
LIGHTING COLUMN,1,CONSORT CLOSE,DUKINFIELD,394223,396717,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CONSORT CLOSE,DUKINFIELD,394221,396745,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CONSTABLE WALK,DENTON,393048,393220,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CONWAY DRIVE,STALYBRIDGE,396377,399249,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CONWAY DRIVE,STALYBRIDGE,396394,399249,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,COOK STREET,AUDENSHAW,392603,396722,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,COOK STREET,AUDENSHAW,392632,396718,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,COOK STREET,AUDENSHAW,392661,396715,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,COOK STREET,AUDENSHAW,392688,396714,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,COOKE STREET,DENTON,392441,395079,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,COOKE STREET,DENTON,392474,395078,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,COOKE STREET,DENTON,392512,395090,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,COOKE STREET,DENTON,392539,395099,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,COOKE STREET,DENTON,392574,395110,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,COOKE STREET,DENTON,392616,395130,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,COOMBES AVENUE,HYDE,395749,394414,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,COOMBES AVENUE,HYDE,395780,394421,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,COOMBES AVENUE,HYDE,395818,394418,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,COOMBES AVENUE,HYDE,395851,394425,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,COOMBES AVENUE,HYDE,395874,394404,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COOMBS VIEW,BROADBOTTOM,398837,393721,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,COOMBS VIEW,BROADBOTTOM,398813,393733,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,COOMBS VIEW,BROADBOTTOM,398793,393733,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1A,COOMBS VIEW,BROADBOTTOM,398830,393732,6 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COOPER STREET,DROYLSDEN,389227,398253,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COOPER STREET,DUKINFIELD,393845,398413,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,COOPER STREET,DUKINFIELD,393889,398422,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COPELAND STREET,HYDE,394790,396188,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,COPELAND STREET,HYDE,394787,396218,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,COPELAND STREET,HYDE,394776,396252,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,COPELAND STREET,HYDE,394764,396259,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,COPELAND STREET,HYDE,394756,396301,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,COPELAND STREET,HYDE,394735,396335,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,7,COPELAND STREET,HYDE,394737,396361,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4A,COPELAND STREET,HYDE,394806,396273,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4B,COPELAND STREET,HYDE,394829,396282,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COPLEY AVENUE,STALYBRIDGE,397410,398752,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,COPLEY AVENUE,STALYBRIDGE,397419,398722,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,COPLEY AVENUE,STALYBRIDGE,397460,398712,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,COPLEY AVENUE,STALYBRIDGE,397490,398689,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,COPLEY AVENUE,STALYBRIDGE,397477,398656,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,COPLEY AVENUE,STALYBRIDGE,397470,398619,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,COPPER BEECH DRIVE,STALYBRIDGE,397565.9,399464.95,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,COPPER BEECH DRIVE,STALYBRIDGE,397580.45,399457.44,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,COPPER BEECH DRIVE,STALYBRIDGE,397601.35,399468.95,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,COPPER BEECH DRIVE,STALYBRIDGE,397617.76,399470.8,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,COPPER BEECH DRIVE,STALYBRIDGE,397628.61,399459.56,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,COPPERAS LANE,DROYLSDEN,389389,397921,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,COPPERAS LANE,DROYLSDEN,389418,397928,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,COPPERAS LANE,DROYLSDEN,389443,397947,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,COPPERAS LANE,DROYLSDEN,389642,397702,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,COPPICE WALK,DENTON,391899,394720,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,COPPICE WALK,DENTON,391885,394746,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,COPPICE WALK,DENTON,391868,394753,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,COPPICE WALK,DENTON,391840,394756,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,COPPICE WALK,DENTON,391815,394770,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,COPPICE WALK,DENTON,391793,394786,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,COPPICE WALK,DENTON,391792,394819,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,8,COPPICE WALK,DENTON,391800,394842,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,9,COPPICE WALK,DENTON,391887,394768,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,10,COPPICE WALK,DENTON,391891,394799,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORDINGLEY AVENUE,DROYLSDEN,389780,397867,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,2,CORDINGLEY AVENUE,DROYLSDEN,389814,397849,6 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,70 WATTS
LIGHTING COLUMN,1,CORDOVA AVENUE,DENTON,389813,395152,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CORDOVA AVENUE,DENTON,389834,395168,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,CORDOVA AVENUE,DENTON,389867,395182,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,CORDOVA AVENUE,DENTON,389890,395210,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,CORDOVA AVENUE,DENTON,389919,395221,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,CORDOVA AVENUE,DENTON,389937,395247,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORK STREET,ASHTON-UNDER-LYNE,394027,399220,8 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,2,CORK STREET,ASHTON-UNDER-LYNE,394051,399201,8 Metre,MILD STEEL,Ceramic Disc M Halide - CDO TT,100 WATTS
LIGHTING COLUMN,1,CORKLAND CLOSE,ASHTON-UNDER-LYNE,395077,398689,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CORKLAND CLOSE,ASHTON-UNDER-LYNE,395041,398700,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CORKLAND CLOSE,ASHTON-UNDER-LYNE,395004,398701,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORKLAND STREET,ASHTON-UNDER-LYNE,395145,398824,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CORKLAND STREET,ASHTON-UNDER-LYNE,395124,398797,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CORKLAND STREET,ASHTON-UNDER-LYNE,395114,398736,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,CORKLAND STREET,ASHTON-UNDER-LYNE,395114,398737,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,CORKLAND STREET,ASHTON-UNDER-LYNE,395094,398710,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,CORKLAND STREET,ASHTON-UNDER-LYNE,395095,398682,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,7,CORKLAND STREET,ASHTON-UNDER-LYNE,395090,398657,6 Metre,CONCRETE,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORN MILL LANE,STALYBRIDGE,396519,398474,8 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,2,CORN MILL LANE,STALYBRIDGE,396535,398491,8 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,3,CORN MILL LANE,STALYBRIDGE,396576,398486,8 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,4,CORN MILL LANE,STALYBRIDGE,396600,398497,8 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,5,CORN MILL LANE,STALYBRIDGE,396595,398515,8 Metre,UNKNOWN/NOT APPLICABLE,H.P.SODIUM(TUBULAR),100 WATTS
LIGHTING COLUMN,1,CORNFIELD,STALYBRIDGE,398194,397185,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CORNFIELD,STALYBRIDGE,398223,397186,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,CORNFIELD,STALYBRIDGE,398245,397164,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,CORNFIELD,STALYBRIDGE,398246,397124,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,CORNFIELD,STALYBRIDGE,398257,397089,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,CORNFIELD,STALYBRIDGE,398253,397172,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,CORNFIELD,STALYBRIDGE,398284,397175,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,8,CORNFIELD,STALYBRIDGE,398296,397188,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,9,CORNFIELD,STALYBRIDGE,398290,397213,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,10,CORNFIELD,STALYBRIDGE,398271,397237,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,11,CORNFIELD,STALYBRIDGE,398265,397263,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,12,CORNFIELD,STALYBRIDGE,398248,397270,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,13,CORNFIELD,STALYBRIDGE,398227,397254,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,14,CORNFIELD,STALYBRIDGE,398221,397288,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,CORNWALL ROAD,DROYLSDEN,390187,399210,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CORNWALL ROAD,DROYLSDEN,390164,399234,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CORNWALL ROAD,DROYLSDEN,390156,399266,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,CORNWALL ROAD,DROYLSDEN,390132,399292,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,CORNWALL ROAD,DROYLSDEN,390128,399319,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,CORNWALL ROAD,DROYLSDEN,390105,399347,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,7,CORNWALL ROAD,DROYLSDEN,390097,399377,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORONA AVENUE,HYDE,395246,395438,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CORONA AVENUE,HYDE,395276,395461,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,CORONA AVENUE,HYDE,395317,395477,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,CORONATION AVENUE,DUKINFIELD,395514,397035,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CORONATION AVENUE,DUKINFIELD,395528,396998,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,CORONATION AVENUE,DUKINFIELD,395530,396958,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,CORONATION AVENUE,DUKINFIELD,395540,396924,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,CORONATION AVENUE,DUKINFIELD,395558,396890,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORONATION AVENUE,HYDE,395131,394043,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,CORONATION AVENUE,HYDE,395169,394059,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,CORONATION ROAD,ASHTON-UNDER-LYNE,394497,400524,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,CORONATION ROAD,ASHTON-UNDER-LYNE,394486,400552,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
