Unit Type,Unit No.,Address 1,Address 2,Easting,Northing,MH - MOUNTING HEIGHT,CT - COLUMN TYPE,LT - LAMP TYPE,LW - LAMP WATTS
LIGHTING COLUMN,4,ABNEY ROAD,MOSSLEY,397310,401944,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,ABNEY ROAD,MOSSLEY,397327,401976,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ACACIA AVENUE,DENTON,393178,395156,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACACIA AVENUE,DENTON,393172,395206,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ACACIA AVENUE,DENTON,393210,395198,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ACACIA AVENUE,DENTON,393247,395207,6 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,5,ACACIA AVENUE,DENTON,393213,395225,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ACACIA AVENUE,DENTON,393238,395226,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ACER CLOSE,HYDE,396399,394865,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACER CLOSE,HYDE,396367,394860,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ACER CLOSE,HYDE,396349,394863,5 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ACORN AVENUE,HYDE,395483,393677,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,2,ACORN AVENUE,HYDE,395504,393654,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,3,ACORN AVENUE,HYDE,395486,393630,5 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,4,ACORN AVENUE,HYDE,395462,393610,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,5,ACORN AVENUE,HYDE,395434,393580,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,6,ACORN AVENUE,HYDE,395412,393558,6 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),70 WATTS
LIGHTING COLUMN,1,ACRE STREET,DENTON,392298,395481,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,2,ACRE STREET,DENTON,392295,395460,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,3,ACRE STREET,DENTON,392307,395427,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,4,ACRE STREET,DENTON,392323,395403,5 Metre,CONCRETE,L.P.SODIUM,35 WATTS
LIGHTING COLUMN,5,ACRE STREET,DENTON,392324,395375,5 Metre,CONCRETE,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,6,ACRE STREET,DENTON,392335,395343,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,7,ACRE STREET,DENTON,392345,395309,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,8,ACRE STREET,DENTON,392357,395274,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,9,ACRE STREET,DENTON,392366,395247,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,10,ACRE STREET,DENTON,392376,395218,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,11,ACRE STREET,DENTON,392379,395209,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,12,ACRE STREET,DENTON,392396,395192,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,13,ACRE STREET,DENTON,392405,395164,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,14,ACRE STREET,DENTON,392416,395134,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,15,ACRE STREET,DENTON,392416,395099,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,16,ACRE STREET,DENTON,392434,395078,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,17,ACRE STREET,DENTON,392437,395041,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,18,ACRE STREET,DENTON,392464,394991,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,19,ACRE STREET,DENTON,392462,394963,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,20,ACRE STREET,DENTON,392479,394947,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,17A,ACRE STREET,DENTON,392444,395015,6 Metre,MILD STEEL,HP SODIUM TUBULAR PIA,70 WATTS
LIGHTING COLUMN,1,ACRES LANE,STALYBRIDGE,396752,398437,10 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
LIGHTING COLUMN,2,ACRES LANE,STALYBRIDGE,396723,398435,10 Metre,MILD STEEL,H.P.SODIUM(TUBULAR),150 WATTS
